,id_estudiante,edad,materia,horas_estudio_semana,asistencia_pct,nota_final
120,121,99,Matemáticas,7.71022253,80.54497479,-20
97,98,16,Historia,15.72824992,79.83955272,26.55616933
57,58,15,Literatura,10.10579066,86.22009815,27.27186069
156,157,18,Historia,10.86932457,87.02923021,32.50891428
147,148,14,Literatura,9.532968294,79.44522881,37.6991483
285,286,13,Ciencias,11.33278993,85.26885839,37.70664111
93,94,15,Matemáticas,9.428983966,91.81500697,40.02698973
248,249,18,Ciencias,9.193333928,72.48460576,40.09396536
282,283,18,Matemáticas,9.279023806,100,42.4569194
59,60,17,Matemáticas,10.64193973,84.039401,43.90429332
172,173,15,Matemáticas,10.70684367,79.82388701,44.60564779
27,28,16,Ciencias,3.882303467,75.21627222,44.97123889
159,160,16,Literatura,9.021929403,100,45.3190188
190,191,15,Historia,13.11261983,98.82158991,46.105094
43,44,15,Matemáticas,7.180360641,77.44617068,46.35411765
179,180,120,Literatura,16.81207857,95.44160877,46.44249095
72,73,15,Matemáticas,11.72967089,77.72862824,46.65127152
245,246,15,Ciencias,12.08861909,87.43339449,46.66156531
33,34,14,Literatura,5.859695625,94.82690984,48.0343768
143,144,16,Historia,9.390863842,100,48.39923676
261,262,15,Historia,10.31929068,99.40117215,48.79428255
204,205,13,Literatura,4.663839253,91.45484181,48.96092092
158,159,14,Ciencias,12.61337411,100,49.156413
227,228,14,Ciencias,14.58865096,100,49.45295531
187,188,15,Ciencias,8.56702766,90.07274031,49.98961758
281,282,16,Ciencias,12.13899529,73.41635311,50.0315057
149,150,16,Ciencias,10.76326253,96.89016531,50.1536531
62,63,14,Matemáticas,11.8425001,84.6501151,50.57977786
69,70,15,Literatura,14.1006228,94.7255445,50.75511664
206,207,16,Literatura,11.96309697,81.92221765,51.34205147
133,134,16,Historia,8.846333367,75.01645959,51.58588277
32,33,15,Historia,14.88584664,87.56029734,51.61351505
241,242,15,Ciencias,9.181829291,74.29915234,51.640896
251,252,17,Historia,10.1776553,96.17295832,51.85538472
216,217,14,Historia,7.628576634,95.7363175,52.18602371
121,122,14,Matemáticas,4.585353698,99.53384477,52.8048191
119,120,17,Ciencias,11.71179601,81.3716144,52.85492631
61,62,15,Literatura,9.337091201,77.96823575,53.20495158
175,176,17,Literatura,13.43126213,96.88393273,53.44616024
284,285,19,Literatura,12.1328799,82.79035826,53.44950091
142,143,13,Literatura,11.73121638,87.89168644,53.5558737
268,269,15,Matemáticas,8.971937218,93.40643549,53.61530853
103,104,14,Ciencias,7.408027691,80.21251378,54.19876655
101,102,15,Matemáticas,8.538623849,81.90827877,54.40141109
25,26,16,Ciencias,4.723781541,77.21695275,54.65811152
239,240,17,Matemáticas,5.490571141,84.00824136,54.77864904
146,147,14,Literatura,10.25976936,78.76859474,55.12911476
180,181,16,Matemáticas,10.54559877,91.8189149,55.15557795
174,175,16,Matemáticas,5.564241263,84.83577104,55.17113339
182,183,14,Ciencias,8.621917301,90.83928185,55.2626891
185,186,17,Matemáticas,7.431748522,96.08703581,55.47483318
259,260,100,Literatura,8.369725687,92.09003758,56.1898961
263,264,14,Historia,14.51197897,100,56.44138538
145,146,17,Literatura,8.18804444,79.69003045,57.29557978
214,215,15,Literatura,11.4430277,80.53566385,57.4697942
230,231,14,Matemáticas,6.963686874,89.4001445,57.94488148
280,281,16,Ciencias,6.333616573,84.96397461,58.21015809
243,244,17,Historia,9.8371154,78.0809193,58.45040153
299,300,16,Historia,5.774616111,78.53063222,58.66382261
123,124,13,Literatura,10.14425484,79.77139973,58.68586225
170,171,14,Literatura,12.48821674,84.66873027,58.69053117
264,265,15,Literatura,2.047090575,84.59842049,58.96705086
208,209,16,Literatura,10.83990588,87.49383684,59.22389102
254,255,13,Historia,10.59425428,90.6976728,59.42482216
202,203,17,Literatura,7.678632403,71.40143859,59.47012468
207,208,16,Historia,9.833245987,87.19150328,59.60642203
9,10,16,Ciencias,13.83303047,88.99136114,59.66218273
152,153,14,Matemáticas,8.537181328,76.67644427,59.67774482
212,213,17,Literatura,10.32818438,91.0789651,59.89764064
51,52,15,Ciencias,7.621381503,100,59.92564948
296,297,17,Matemáticas,8.431830938,98.99355437,59.9786432
203,204,17,Historia,6.26603589,92.46253566,60.05648624
12,13,16,Historia,14.65345593,86.14227649,60.22872995
240,241,14,Historia,9.262770808,100,60.26083682
148,149,16,Matemáticas,13.50334618,78.62612873,60.41557378
46,47,15,Literatura,9.811962708,75.76766754,60.61655948
104,105,15,Historia,10.14556488,97.55756126,60.64346559
188,189,14,Matemáticas,11.43693948,95.6667469,60.97948534
238,239,15,Matemáticas,9.221225946,91.50201178,61.27478629
17,18,16,Ciencias,15.26602253,25,61.39449994
226,227,16,Literatura,4.922606111,79.44800473,61.63762322
233,234,15,Matemáticas,10.2199539,92.08356447,61.69617637
50,51,16,Historia,8.409227145,75.50601111,61.74542269
5,6,15,Literatura,11.5433165,100,61.97147183
71,72,18,Ciencias,9.252891881,69.2977528,62.59365125
13,14,13,Matemáticas,10.3470239,86.50301761,62.74171249
30,31,15,Matemáticas,14.50707116,95.29155637,62.75220307
64,65,17,Ciencias,8.408496557,78.73032942,62.98448198
37,38,13,Matemáticas,9.901915756,72.20423033,63.11673606
197,198,16,Ciencias,7.233504027,81.06661188,63.55891688
73,74,18,Matemáticas,10.93375046,82.52481364,63.57827259
236,237,12,Literatura,8.992645902,72.19695601,64.31308389
55,56,17,Historia,6.406366322,92.00309879,64.44078502
60,61,15,Ciencias,9.663015851,96.49273326,64.56338588
77,78,15,Historia,7.133378678,71.64655641,64.76113444
76,77,16,Ciencias,9.616247226,86.77701001,64.77021798
155,156,14,Literatura,8.737046558,91.32931818,65.12752925
78,79,16,Ciencias,5.180661039,88.80197851,65.17547423
14,15,13,Ciencias,13.53789155,81.36387788,65.19479038
269,270,16,Historia,8.885677402,78.47376021,65.25387325
275,276,16,Matemáticas,13.81466528,92.60414656,65.36325304
136,137,14,Ciencias,12.50707634,84.5053629,65.53654745
210,211,16,Literatura,17.33725594,84.04704468,65.57575483
293,294,17,Ciencias,6.246659271,91.40842861,65.64588184
171,172,14,Matemáticas,3.366594073,100,65.78987385
84,85,14,Ciencias,15.06142491,84.29834289,66.11436781
26,27,14,Matemáticas,6.450224462,86.95845255,66.13935194
130,131,13,Historia,8.044491677,84.65315113,66.33765047
183,184,16,Ciencias,7.450466892,81.40707909,66.63050275
237,238,16,Literatura,15.00706458,93.72457328,66.9462946
85,86,15,Ciencias,12.64491927,68.39039066,67.05475226
106,107,18,Matemáticas,10.81137048,83.13128356,67.13976399
220,221,19,Historia,14.77955988,96.95046629,67.22068512
298,299,17,Matemáticas,7.886968928,85.5963037,67.37560365
140,141,16,Matemáticas,2.5850665,86.66452208,67.40392264
40,41,17,Matemáticas,6.086591498,90.1765902,67.4105905
277,278,15,Matemáticas,6.612844686,89.25457562,67.71295245
138,139,17,Ciencias,11.58941253,73.77277978,67.74916619
223,224,13,Matemáticas,9.62263924,88.77211875,67.79496998
99,100,15,Literatura,11.68890771,80.37724711,67.90615558
221,222,13,Literatura,8.466352971,69.76813095,68.0526895
262,263,11,Matemáticas,9.235068348,78.23607698,68.33160908
291,292,15,Matemáticas,9.071360682,82.18899707,68.5166552
173,174,16,Ciencias,12.31259558,87.23787952,68.5249056
228,229,14,Historia,9.525976304,70.519861,68.67576927
91,92,17,Historia,11.61673013,95.53152853,68.7892513
86,87,17,Historia,9.976082076,89.29618219,68.92598111
124,125,16,Historia,10.77916751,80.79813183,69.0379248
169,170,14,Matemáticas,9.342698414,77.6906996,69.06110308
113,114,19,Matemáticas,7.067334266,93.89630796,69.13571804
255,256,15,Ciencias,9.566918764,89.4770856,69.16346384
66,67,15,Literatura,9.174844909,92.07751935,69.29619132
39,40,16,Ciencias,9.732639881,85.2609105,69.42237296
87,88,16,Ciencias,14.43983242,87.07687687,69.44166645
52,53,14,Literatura,9.67890892,89.93317901,69.61668894
18,19,14,Historia,9.253107555,71.51814578,69.63468112
192,193,16,Ciencias,9.190375194,83.3288192,69.70543302
288,289,16,Matemáticas,6.756810017,82.52822617,69.90893633
141,142,17,Historia,7.609314234,89.92451264,70.23368571
242,243,16,Matemáticas,1.909340071,69.74474829,70.51125202
22,23,16,Matemáticas,7.105229618,85.18433933,70.57005217
201,202,16,Ciencias,15.63038744,85.46436548,70.60887537
222,223,17,Literatura,7.031185539,79.41078153,70.65717208
200,201,16,Matemáticas,11.24030471,86.91099068,70.73290105
89,90,16,Matemáticas,7.416147396,72.23251424,70.77918829
257,258,14,Matemáticas,8.359423176,98.2915253,71.14008087
68,69,16,Ciencias,5.454426813,91.32407739,71.15232837
92,93,14,Literatura,6.888261537,84.60444846,71.17952785
290,291,15,Ciencias,11.77930377,74.9837999,71.22744038
168,169,15,Literatura,10.98078212,71.20680772,71.56301656
186,187,16,Historia,10.21469871,93.20482181,71.58063259
23,24,13,Ciencias,12.05815438,88.47581705,71.8004699
198,199,16,Literatura,12.60881776,85.28744823,71.83446255
196,197,14,Historia,12.27096585,88.68673309,71.87836754
139,140,14,Matemáticas,14.32470586,88.82409746,71.8836468
276,277,16,Matemáticas,12.16501619,92.85800159,72.00311357
271,272,13,Matemáticas,7.666549937,30,72.1257537
110,111,13,Ciencias,8.269686008,95.31844539,72.25628358
260,261,14,Matemáticas,7.861462652,84.10264306,72.54041236
176,177,16,Historia,11.01548922,100,72.69841227
274,275,14,Ciencias,12.80703518,35,72.88073675
7,8,17,Ciencias,6.626073724,84.03286888,72.96399407
11,12,15,Literatura,7.75454039,96.03301882,72.96866175
114,115,15,Matemáticas,10.29799692,85.82283989,73.0164857
107,108,16,Matemáticas,9.849285672,80.60268942,73.2614931
194,195,16,Matemáticas,8.66712022,97.06508967,73.35871201
34,35,17,Literatura,4.889852682,100,73.36677728
244,245,14,Historia,9.307196409,84.54413984,73.50678868
83,84,15,Matemáticas,6.755355989,89.59180079,73.58183739
49,50,13,Literatura,11.51213955,95.53641797,73.91010649
294,295,16,Matemáticas,12.77208106,79.2882101,74.01088471
213,214,16,Historia,12.17729987,86.86609123,74.18491243
167,168,18,Historia,15.02931194,77.01702755,74.21787136
122,123,18,Literatura,5.117372686,100,74.53953198
217,218,15,Literatura,11.41440507,74.73484701,74.64731065
189,190,13,Matemáticas,11.00098632,96.6929559,74.79672901
126,127,14,Ciencias,11.91577738,71.55549489,74.82035823
295,296,14,Ciencias,9.445293591,90.72582781,74.82546709
125,126,19,Literatura,7.287050125,82.18215391,74.93143615
246,247,15,Literatura,15.54686828,82.58763942,74.96320348
95,96,13,Historia,5.851600807,85.29756139,75.19732714
65,66,18,Matemáticas,8.272545278,100,75.19755823
111,112,15,Literatura,12.26617368,70.14439627,75.47441504
249,250,16,Matemáticas,6.680422274,99.43764604,75.61084855
80,81,15,Matemáticas,7.730947764,90.59790448,75.72903178
286,287,15,Historia,8.917101503,87.08382808,75.82867907
273,274,16,Ciencias,15.25681133,25,75.89976759
1,2,15,Literatura,11.8685498,91.06009951,75.90228078
47,48,17,Matemáticas,12.86542696,71.48315394,75.937053
28,29,15,Matemáticas,9.191779497,89.08252756,75.98834684
219,220,16,Literatura,14.03626014,77.99879185,76.20698646
253,254,17,Historia,9.927624739,89.56753219,76.28528514
127,128,15,Ciencias,5.015439813,75.81348054,76.32881131
15,16,115,Literatura,10.20255544,84.43054376,76.3624892
81,82,16,Ciencias,5.733238871,95.80780726,76.45062471
21,22,15,Literatura,14.10589467,83.16016664,76.54485505
191,192,17,Ciencias,8.469950803,91.48709888,76.60712107
129,130,15,Literatura,6.366951401,77.32202435,76.80301452
67,68,17,Matemáticas,3.094236506,79.37533224,77.15561241
48,49,16,Ciencias,7.042821861,75.24126747,77.41045279
109,110,15,Historia,7.277309014,86.96554777,77.43522832
283,284,14,Matemáticas,8.875537577,93.77362291,77.6198699
16,17,14,Literatura,16.18224377,88.07801769,77.84253232
258,259,16,Ciencias,9.901740189,86.9652117,78.08133989
54,55,17,Ciencias,8.339052084,76.4164222,78.15400232
184,185,15,Literatura,12.49100745,90.90654831,78.25078149
193,194,14,Matemáticas,7.063708853,86.46713686,78.28734932
256,257,17,Matemáticas,8.279013979,91.4272276,78.37490369
163,164,14,Matemáticas,6.975741067,88.3445679,78.4586368
234,235,110,Literatura,6.130117301,87.43800714,78.53474619
164,165,17,Historia,4.387624237,91.58544273,78.92131512
134,135,14,Historia,13.01887843,94.84322398,78.96100105
267,268,13,Ciencias,3.779829303,78.18948343,79.13707181
102,103,15,Historia,8.222818227,87.22133772,79.19160858
24,25,15,Matemáticas,13.17527346,79.6024032,79.20276959
218,219,15,Historia,15.64607349,86.32969674,79.50665321
3,4,18,Matemáticas,9.572861545,100,79.52757703
118,119,17,Ciencias,8.012128723,100,79.58095333
29,30,15,Historia,12.15262677,67.97416396,79.7079391
0,1,16,Matemáticas,8.649803586,69.43370826,80.4733497
135,136,18,Ciencias,8.269324391,82.86011156,80.51759113
278,279,16,Historia,8.426439201,75.33023857,80.62163015
88,89,5,Literatura,10.23210492,87.71578837,80.91444315
90,91,16,Historia,14.56937223,74.1894346,80.98960116
166,167,17,Historia,10.05525514,83.23052773,81.38392885
56,57,14,Ciencias,15.8941754,79.24362174,81.57548066
247,248,15,Matemáticas,13.37969509,88.52055397,82.50293442
289,290,15,Matemáticas,11.84780682,78.18015752,82.57736162
75,76,17,Historia,13.35872473,91.20672098,82.75332613
165,166,16,Matemáticas,8.945459548,100,82.80123338
108,109,16,Matemáticas,9.283155859,99.46977884,83.05101596
41,42,16,Literatura,12.00901765,77.74256187,83.25489906
209,210,21,Literatura,6.623532858,100,83.42386565
2,3,16,Historia,6.797138712,72.19570648,83.4278983
94,95,15,Matemáticas,7.37314524,85.28318376,83.74491512
178,179,15,Ciencias,11.8983456,80.10560557,83.77474909
292,293,15,Historia,10.97839907,100,83.78614724
181,182,14,Literatura,10.74466176,100,84.11156782
279,280,15,Matemáticas,11.46812368,84.52288644,84.35053475
224,225,15,Matemáticas,10.16717474,100,84.45818675
131,132,16,Ciencias,10.14219601,87.34214733,84.46130752
154,155,16,Matemáticas,11.18335643,79.47776956,84.7264823
297,298,16,Matemáticas,13.14702768,94.24633683,84.88063524
70,71,16,Matemáticas,14.93490314,91.21809962,84.94400229
96,97,16,Ciencias,12.77853264,94.38283806,84.97015165
151,152,16,Ciencias,8.764369102,79.29253706,85.14725634
160,161,14,Matemáticas,13.60364177,78.8721131,85.33855648
82,83,118,Ciencias,8.060281347,93.33922155,85.45425181
35,36,14,Matemáticas,9.833356903,95.14370065,85.70647454
4,5,15,Matemáticas,10.3608869,64.18070592,85.74329073
115,116,16,Historia,12.25416137,95.65480375,85.75981594
38,39,14,Ciencias,3.7976737,78.75181422,86.1802125
266,267,18,Matemáticas,13.73825558,86.28104415,86.36965181
116,117,15,Literatura,4.991784157,79.8271155,86.58288899
100,101,13,Historia,8.048072293,80.65503773,86.62274225
58,59,16,Matemáticas,7.900823476,100,87.23148551
63,64,14,Literatura,12.27252313,100,87.41240181
53,54,16,Literatura,6.894273033,86.84836124,87.59093529
117,118,14,Matemáticas,11.63008058,99.0934744,87.80545458
132,133,14,Ciencias,7.418759904,100,87.84205733
270,271,18,Ciencias,5.777464916,80.53816567,88.1964655
250,251,14,Historia,17.72007941,84.17848822,88.41503489
265,266,14,Ciencias,13.27452056,70.69224898,88.54139763
211,212,17,Matemáticas,10.38766355,87.79021526,88.71613109
6,7,18,Literatura,12.13484463,87.11017467,89.76091098
195,196,16,Historia,11.13190148,76.83064329,90.46210645
137,138,15,Historia,6.610879436,91.74819492,90.6356022
45,46,14,Ciencias,6.822359434,70.93338903,90.70137031
162,163,17,Literatura,3.885626394,87.85865391,90.76409228
177,178,18,Matemáticas,8.754136258,79.69131227,90.8800343
44,45,13,Matemáticas,8.458399248,78.88482197,92.14810525
74,75,12,Historia,19.23664243,84.25566571,92.51139686
31,32,18,Matemáticas,10.22228434,89.72597482,93.60980145
144,145,16,Historia,11.11343762,78.62260016,93.91757595
