id,name,description,surface,population,postalCode,departmentId,department,touristAttractions,presidents,indigenousReservations,airports,radios,urbanCenters,higherEducationInstitutions
87,Puerto Nare,,,,,2,,,,,,,,
88,Puerto Triunfo,,,,,2,,,,,,,,
89,Remedios,,,,,2,,,,,,,,
90,Retiro,,,,,2,,,,,,,,
91,Rionegro,"Rionegro es un municipio de Colombia, ubicado en el departamento de Antioquia. Está localizado en el valle de San Nicolás o también llamado Altiplano del Oriente, en la subregión Oriente, siendo la ciudad con mayor población y la que concentra el movimiento económico de la subregión. Está ubicada a tan solo 35 minutos de Medellín, capital del departamento, gracias al túnel de interconexión Aburrá-Oriente. Su nombre oficial es Ciudad Santiago de Arma de Rionegro.",196.0,135465.0,54040,2,,,,,,,,
92,Sabanalarga,,,,,2,,,,,,,,
93,Sabaneta,,,,,2,,,,,,,,
94,Salgar,,,,,2,,,,,,,,
95,San Francisco,,,,,2,,,,,,,,
96,San Jerónimo,,,,,2,,,,,,,,
97,San Luis,,,,,2,,,,,,,,
98,San Pedro,,,,,2,,,,,,,,
99,San Rafael,,,,,2,,,,,,,,
100,San Roque,,,,,2,,,,,,,,
101,San Vicente,,,,,2,,,,,,,,
102,Santa Bárbara,,,,,2,,,,,,,,
103,Santo Domingo,,,,,2,,,,,,,,
104,El Santuario,,,,,2,,,,,,,,
105,Segovia,,,,,2,,,,,,,,
106,Sopetrán,,,,,2,,,,,,,,
107,Támesis,,,,,2,,,,,,,,
108,Tarazá,,,,,2,,,,,,,,
109,Tarso,,,,,2,,,,,,,,
110,Titiribí,,,,,2,,,,,,,,
111,Toledo,,,,,2,,,,,,,,
112,Turbo,"Turbo es un distrito de Colombia localizado en la subregión de Urabá en el departamento de Antioquia. Fue declarado por ley de la república 1883 de 2018 distrito especial portuario, logístico, industrial, turístico y comercial.",3055.0,124552.0,57860,2,,,,,,,,
113,Uramita,,,,,2,,,,,,,,
114,Urrao,,,,,2,,,,,,,,
115,Valdivia,,,,,2,,,,,,,,
116,Valparaíso,,,,,2,,,,,,,,
117,Vegachí,,,,,2,,,,,,,,
118,Venecia,,,,,2,,,,,,,,
119,Yalí,,,,,2,,,,,,,,
120,Yarumal,,,,,2,,,,,,,,
121,Yolombó,,,,,2,,,,,,,,
122,Yondó,,,,,2,,,,,,,,
123,Zaragoza,,,,,2,,,,,,,,
124,San Pedro de Uraba,,,,,2,,,,,,,,
125,Santafé de Antioquia,,,,,2,,,,,,,,
126,Santa Rosa de Osos,,,,,2,,,,,,,,
127,San Andrés de Cuerquía,,,,,2,,,,,,,,
128,Vigía del Fuerte,,,,,2,,,,,,,,
129,San José de La Montaña,,,,,2,,,,,,,,
130,San Juan de Urabá,,,,,2,,,,,,,,
131,El Carmen de Viboral,,,,,2,,,,,,,,
132,San Carlos,,,,,2,,,,,,,,
133,Frontino,,,,,2,,,,,,,,
134,Granada,,,,,2,,,,,,,,
135,Jardín,,,,,2,,,,,,,,
136,Sonsón,,,,,2,,,,,,,,
137,Arauquita,,,,,3,,,,,,,,
138,Cravo Norte,,,,,3,,,,,,,,
139,Fortul,,,,,3,,,,,,,,
140,Puerto Rondón,,,,,3,,,,,,,,
141,Saravena,,,,,3,,,,,,,,
142,Tame,,,,,3,,,,,,,,
143,Arauca,"Arauca, cuyo nombre colonial es Villa de Santa Bárbara de Arauca, es un municipio colombiano, capital del departamento de Arauca. Está localizado sobre el margen sur del río Arauca. Limita con Venezuela al norte, con la cual está conectada mediante el Puente Internacional José Antonio Páez y se comunica por vía terrestre hacia el centro de Colombia mediante la Ruta de los Libertadores",5841.0,96814.0,810001,3,,,,,,,,
