APM,Accuracy_%,Distance_Traveled_m,Damage_Dealt,Time_to_Kill_ms,Consumables_Used
81.98,6.77,2667.07,567.89,4124.71,4.22
74.15,25.12,2381.05,303.75,3748.22,3.69
136.78,52.8,7000.17,1056.35,2388.85,15.26
256.03,65.11,4877.7,3941.32,1241.85,8.73
129.02,49.92,5952.94,1702.35,2923.14,14.81
87.54,13.22,1674.64,602.63,3826.41,1.77
253.49,62.04,4068.0,4201.92,1311.94,5.89
130.38,39.06,6505.88,1535.22,2197.43,17.73
75.68,29.12,2742.24,374.46,4455.21,3.09
86.38,12.22,2458.26,461.58,4560.93,2.51
94.67,23.54,2315.53,606.77,3908.35,4.65
151.1,60.08,6127.68,845.76,2671.62,18.03
187.27,53.24,6915.24,1467.78,2224.39,14.18
84.7,35.49,2533.67,279.66,3434.91,2.33
59.87,17.22,2241.77,413.95,3751.02,2.58
68.97,18.73,2629.78,508.42,3743.05,3.56
89.58,28.77,2583.81,364.61,3766.62,4.39
255.22,66.54,4404.83,2999.55,1222.01,4.0
96.51,13.75,1977.05,360.59,3871.35,4.18
78.33,23.76,2148.69,289.03,3325.11,2.4
55.53,22.55,2413.15,723.24,3994.57,2.19
157.72,23.37,7660.08,1517.98,2227.67,18.62
250.26,69.36,4617.81,3209.15,1132.15,4.61
105.15,18.85,2077.96,472.93,4039.79,6.1
86.65,21.87,2344.7,0.0,4025.11,3.71
244.17,68.4,3620.63,3937.68,1157.73,5.95
131.08,43.07,7170.63,2132.98,2444.64,17.25
153.72,42.32,9115.47,836.65,2374.79,14.27
60.69,31.98,2106.0,311.63,4004.39,3.64
226.17,66.61,4697.23,3156.66,1285.47,9.96
88.7,18.41,2528.91,596.53,4034.04,3.46
112.48,22.11,2562.85,549.07,3706.79,0.6
241.59,62.2,5454.71,3919.6,1141.0,2.21
163.41,41.14,6914.16,913.07,2174.45,14.71
94.27,17.63,2477.63,478.48,4239.75,5.08
74.42,26.53,1296.95,418.95,3576.78,2.9
247.69,67.52,3466.28,3396.16,1031.59,10.16
89.98,21.58,2476.07,250.84,4595.54,3.11
79.28,17.76,2930.74,866.94,3674.16,1.78
192.79,42.07,4647.69,1053.83,2065.42,16.38
220.43,59.0,3847.77,3401.7,1224.97,7.65
100.84,53.69,7147.08,1400.62,2241.67,15.76
182.24,57.9,7210.05,667.13,2551.55,18.41
235.6,63.33,4834.84,3390.91,1273.87,9.77
101.55,19.84,2144.89,508.29,5011.3,3.85
189.04,46.61,7412.94,1124.54,2439.11,19.17
99.89,13.86,1937.77,558.67,4366.77,3.73
163.46,49.1,7047.95,1331.85,2711.35,12.84
207.98,32.08,6550.27,717.7,2430.74,14.23
150.26,43.56,5559.15,1058.99,2462.36,20.5
133.06,41.2,7603.43,1493.66,2362.81,8.61
109.87,27.07,2076.62,524.07,3617.91,4.26
103.85,27.25,2801.89,488.18,4128.09,1.9
221.75,65.41,4533.76,3589.55,1359.82,8.85
130.75,47.41,6307.06,951.45,2429.68,11.55
170.44,32.49,8785.04,1381.35,2664.18,13.09
225.38,62.18,4211.55,3905.75,1115.39,9.4
79.41,3.79,2503.42,402.9,4478.97,2.95
89.12,26.11,2435.75,155.3,3363.21,3.05
232.86,62.0,4292.36,2965.86,1263.82,10.78
180.9,40.77,6671.35,1339.91,2437.21,14.41
114.45,50.38,7000.96,1382.02,2318.58,13.75
99.18,14.14,2112.1,486.7,4385.38,2.4
68.41,16.33,2697.63,611.04,4579.92,3.97
287.94,65.06,3995.96,4208.32,1470.14,9.13
243.45,69.25,4069.36,3746.37,1375.39,8.1
160.34,37.32,6480.0,1121.13,2486.96,19.44
154.53,45.56,6580.73,1347.61,2245.71,16.92
97.31,31.4,2813.44,711.26,3200.3,2.39
167.7,36.87,6012.52,1145.88,3097.75,11.39
69.32,34.29,3069.8,592.14,3630.65,2.67
86.38,30.17,2063.92,183.22,3744.92,2.78
256.93,72.38,4422.16,2959.33,1252.81,3.69
87.58,29.75,2139.73,146.72,4119.81,1.43
79.96,11.77,2261.79,412.68,3741.12,2.89
91.69,11.6,2610.63,638.9,4300.11,3.14
65.56,19.66,2491.08,367.17,4811.94,1.77
